METRICA|VALOR|MODELO|TIPO_DE_DATOS
Precision|51.65|KNeighbors|Prueba
Exhaustividad|58.87|KNeighbors|Prueba
Puntuacion F1|53.6|KNeighbors|Prueba
Exactitud|58.87|KNeighbors|Prueba
Informacion Mutua Normalizada (NMI)|0.09|KNeighbors|Prueba
Indice Kappa de Cohen|-0.73|KNeighbors|Prueba
Precision|60.19|KNeighbors|Entrenamiento
Exhaustividad|64.56|KNeighbors|Entrenamiento
Puntuacion F1|59.44|KNeighbors|Entrenamiento
Exactitud|64.56|KNeighbors|Entrenamiento
Informacion Mutua Normalizada (NMI)|4.04|KNeighbors|Entrenamiento
Indice Kappa de Cohen|17.94|KNeighbors|Entrenamiento
Mejores Hiperparametros|algorithm: auto, leaf_size: 30, metric: manhattan, metric_params: None, n_jobs: None, n_neighbors: 15, p: 1, weights: uniform|KNeighbors|Hiperparametros del modelo
Precision|52.51|SVC|Prueba
Exhaustividad|63.35|SVC|Prueba
Puntuacion F1|52.14|SVC|Prueba
Exactitud|63.35|SVC|Prueba
Informacion Mutua Normalizada (NMI)|0.35|SVC|Prueba
Indice Kappa de Cohen|0.7|SVC|Prueba
Precision|52.76|SVC|Entrenamiento
Exhaustividad|61.21|SVC|Entrenamiento
Puntuacion F1|49.94|SVC|Entrenamiento
Exactitud|61.21|SVC|Entrenamiento
Informacion Mutua Normalizada (NMI)|0.76|SVC|Entrenamiento
Indice Kappa de Cohen|3.08|SVC|Entrenamiento
Mejores Hiperparametros|C: 0.0008, break_ties: False, cache_size: 200, class_weight: None, coef0: 0.0, decision_function_shape: ovr, degree: 3, gamma: 1.05, kernel: sigmoid, max_iter: 1, probability: False, random_state: 1, shrinking: True, tol: 0.001, verbose: False|SVC|Hiperparametros del modelo
Precision|56.79|DecisionTree|Prueba
Exhaustividad|64.18|DecisionTree|Prueba
Puntuacion F1|54.02|DecisionTree|Prueba
Exactitud|64.18|DecisionTree|Prueba
Informacion Mutua Normalizada (NMI)|0.68|DecisionTree|Prueba
Indice Kappa de Cohen|3.9|DecisionTree|Prueba
Precision|71.23|DecisionTree|Entrenamiento
Exhaustividad|64.13|DecisionTree|Entrenamiento
Puntuacion F1|53.64|DecisionTree|Entrenamiento
Exactitud|64.13|DecisionTree|Entrenamiento
Informacion Mutua Normalizada (NMI)|4.76|DecisionTree|Entrenamiento
Indice Kappa de Cohen|10.15|DecisionTree|Entrenamiento
Mejores Hiperparametros|ccp_alpha: 0.0, class_weight: None, criterion: gini, max_depth: 4, max_features: 1, max_leaf_nodes: None, min_impurity_decrease: 0.0, min_samples_leaf: 1, min_samples_split: 3, min_weight_fraction_leaf: 0.0, monotonic_cst: None, random_state: 4, splitter: best|DecisionTree|Hiperparametros del modelo
Precision|55.59|NaiveBayes|Prueba
Exhaustividad|64.01|NaiveBayes|Prueba
Puntuacion F1|51.91|NaiveBayes|Prueba
Exactitud|64.01|NaiveBayes|Prueba
Informacion Mutua Normalizada (NMI)|0.25|NaiveBayes|Prueba
Indice Kappa de Cohen|1.1|NaiveBayes|Prueba
Precision|55.74|NaiveBayes|Entrenamiento
Exhaustividad|61.57|NaiveBayes|Entrenamiento
Puntuacion F1|49.37|NaiveBayes|Entrenamiento
Exactitud|61.57|NaiveBayes|Entrenamiento
Informacion Mutua Normalizada (NMI)|1.7|NaiveBayes|Entrenamiento
Indice Kappa de Cohen|2.89|NaiveBayes|Entrenamiento
Precision|52.44|LDA|Prueba
